LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,,
2010-11,623,Catoosa County,109,Heritage High School,Mathematics,1267239,84799,243,134,490,501,493,,
2010-11,623,Catoosa County,109,Heritage High School,Reading,1267239,84686,243,132,486,504,497,,
2010-11,623,Catoosa County,109,Heritage High School,Writing,1267239,83235,240,132,361,403,413,,
2016-17,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,Combined Test Score,1715481,62394.33333,1229.333333,27.66666667,1053,1005,1083,,NEW SCALE
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,Mathematics,1267239,84799,243,36,490,501,495,,
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,Reading,1267239,84686,243,36,486,504,515,,
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,Writing,1267239,83235,240,36,361,403,407,,
2017-18,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,Combined Test Score,2136539,65795,2145.333333,43,1052,948,1087,,NEW SCALE
2010-11,623,Catoosa County,4052,Ringgold High School,Mathematics,1267239,84799,243,73,490,501,517,,
2010-11,623,Catoosa County,4052,Ringgold High School,Reading,1267239,84686,243,75,486,504,512,,
2010-11,623,Catoosa County,4052,Ringgold High School,Writing,1267239,83235,240,72,361,403,382,,
2018-19,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,Combined Test Score,2220087,49345,1152,29,1027,965,1034,,NEW SCALE
2010-11,624,Charlton County,287,Charlton County High School,Mathematics,1267239,84799,75,75,490,433,433,,
2010-11,624,Charlton County,287,Charlton County High School,Reading,1267239,84686,75,75,486,422,422,,
2010-11,624,Charlton County,287,Charlton County High School,Writing,1267239,83235,74,74,361,302,302,,
2014-15,761,Atlanta Public Schools,4058,Douglass High School,Combined,1332096,84860,1547,66,1352,1273,1092,,NEW SCALE
2010-11,625,Savannah-Chatham County,101,Johnson High School,Mathematics,1267239,84799,1684,233,490,441,433,,
2010-11,625,Savannah-Chatham County,101,Johnson High School,Reading,1267239,84686,1677,234,486,448,447,,
2010-11,625,Savannah-Chatham County,101,Johnson High School,Writing,1267239,83235,1651,229,361,328,350,,
2010-11,633,Cobb County,209,Allatoona High School,Combined,1267239,84240,8021,375,1338,1409,1352,,
2010-11,625,Savannah-Chatham County,108,Early College Program,Mathematics,1267239,84799,1684,29,490,441,425,,
2010-11,625,Savannah-Chatham County,108,Early College Program,Reading,1267239,84686,1677,29,486,448,453,,
2010-11,625,Savannah-Chatham County,108,Early College Program,Writing,1267239,83235,1651,29,361,328,351,,
2011-12,633,Cobb County,209,Allatoona High School,Combined,1284459,86367,8380,497,1342,1401,1382,,
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,Mathematics,1267239,84799,1684,15,490,441,359,,
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,Reading,1267239,84686,1677,15,486,448,337,,
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,Writing,1267239,83235,1651,15,361,328,266,,
2012-13,633,Cobb County,209,Allatoona High School,Combined,1295267,86088,8114,438,1337,1409,1371,,
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,Mathematics,1267239,84799,1684,159,490,441,356,,
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,Reading,1267239,84686,1677,158,486,448,355,,
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,Writing,1267239,83235,1651,158,361,328,262,,
2013-14,633,Cobb County,209,Allatoona High School,Combined,1306039,82852,7964,442,1352,1422,1404,,
2010-11,625,Savannah-Chatham County,411,Islands High School,Mathematics,1267239,84799,1684,79,490,441,449,,
2010-11,625,Savannah-Chatham County,411,Islands High School,Reading,1267239,84686,1677,78,486,448,469,,
2010-11,625,Savannah-Chatham County,411,Islands High School,Writing,1267239,83235,1651,78,361,328,328,,
2015-16,761,Atlanta Public Schools,4058,Douglass High School,Combined Test Score,,28212.33333,472,2,1084,1063,,,
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,Mathematics,1267239,84799,1684,313,490,441,538,,
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,Reading,1267239,84686,1677,308,486,448,566,,
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,Writing,1267239,83235,1651,301,361,328,371,,
2016-17,761,Atlanta Public Schools,4058,Douglass High School,Combined Test Score,1715481,62394.33333,1229.333333,47.66666667,1053,1005,892,,NEW SCALE
2010-11,625,Savannah-Chatham County,2052,Beach High School,Mathematics,1267239,84799,1684,109,490,441,376,,
2010-11,625,Savannah-Chatham County,2052,Beach High School,Reading,1267239,84686,1677,108,486,448,370,,
2010-11,625,Savannah-Chatham County,2052,Beach High School,Writing,1267239,83235,1651,108,361,328,282,,
2017-18,761,Atlanta Public Schools,4058,Douglass High School,Combined Test Score,2136539,65795,2145.333333,117,1052,948,842,,NEW SCALE
2010-11,625,Savannah-Chatham County,3056,Groves High School,Mathematics,1267239,84799,1684,230,490,441,397,,
2010-11,625,Savannah-Chatham County,3056,Groves High School,Reading,1267239,84686,1677,227,486,448,396,,
2010-11,625,Savannah-Chatham County,3056,Groves High School,Writing,1267239,83235,1651,223,361,328,285,,
2018-19,761,Atlanta Public Schools,4058,Douglass High School,Combined Test Score,2220087,49345,1152,55,1027,965,845,,NEW SCALE
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,Mathematics,1267239,84799,1684,314,490,441,457,,
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,Reading,1267239,84686,1677,316,486,448,458,,
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,Writing,1267239,83235,1651,310,361,328,355,,
2014-15,761,Atlanta Public Schools,106,Early College High School at Carver,Combined,1332096,84860,1547,89,1352,1273,1258,,NEW SCALE
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,Mathematics,1267239,84799,1684,201,490,441,437,,
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,Reading,1267239,84686,1677,202,486,448,429,,
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,Writing,1267239,83235,1651,198,361,328,326,,
2010-11,660,Fulton County,205,Alpharetta High School,Combined,1267239,84240,6818,688,1338,1445,1536,,
